,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Ticker_x,Period_End_Date,Issuer,NAICS_Sector_Name,Country_of_Headquarters,Net_Income_Before_Taxes,Net_Income_After_Taxes,Total_Equity,ROE,ROA,"Total_Assets,_Reported",year,contador_x,contador_y,key2_substring_x,Borrower,Bono,Bono_Chile,Note,Ticker_y,dummy_local,dummy_int,dummy_bono,dummy_bono_chile,dummy_note,key2_substring_y,Issuer_x,key2_substring,Issuer_y,issue_count,issued_more_than_once,average_total_assets,decil,dummy_issue,Año,Period,avg_median_roa,tipical_profits,firm_surplus
678,318,318,318,4748,4295863535,2020-12-31 00:00:00,Bata Chile SA,Manufacturing,Chile,-3.043836203,-2.820013617,84.61754304,-0.033326584,-0.02053593,137.320961,2020,0,0,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.9641271,2,0,2020,2020-2023,0.034062669,4.677518397,-7.7213546
942,319,319,319,4749,4295863535,2019-12-31 00:00:00,Bata Chile SA,Manufacturing,Chile,5.485110711,4.443710171,82.48534473,0.053872724,0.037209522,119.4240054,2019,0,0,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.9641271,2,0,2019,2017-2019,0.035092427,4.190878215,1.294232496
943,320,320,320,4750,4295863535,2018-12-31 00:00:00,Bata Chile SA,Manufacturing,Chile,4.348641309,3.483800287,75.40394704,0.046201829,0.033085637,105.2964544,2018,0,0,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.9641271,2,0,2018,2017-2019,0.035092427,3.695108161,0.653533148
944,321,321,321,4751,4295863535,2017-12-31 00:00:00,Bata Chile SA,Manufacturing,Chile,4.722168056,3.943713889,60.12352222,0.065593527,0.046430165,84.93861528,2017,0,0,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.9641271,2,0,2017,2017-2019,0.035092427,2.980702173,1.741465883
1147,322,322,322,4752,4295863535,2016-12-31 00:00:00,Bata Chile SA,Manufacturing,Chile,3.37190469,2.683821483,63.10775794,0.0425276,0.029110214,92.19518306,2016,0,0,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.9641271,2,0,2016,2013-2016,0.035494312,3.272404605,0.099500084
1148,323,323,323,4753,4295863535,2015-12-31 00:00:00,Bata Chile SA,Manufacturing,Chile,2.206450488,1.677170502,69.40911262,0.024163549,0.015849532,105.8182985,2015,0,0,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.9641271,2,0,2015,2013-2016,0.035494312,3.755947716,-1.549497228
1149,324,324,324,4754,4295863535,2014-12-31 00:00:00,Bata Chile SA,Manufacturing,Chile,2.196727444,1.654501653,69.58815305,0.023775622,0.015323767,107.9696419,2014,0,0,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.9641271,2,0,2014,2013-2016,0.035494312,3.832308173,-1.635580729
1150,325,325,325,4755,4295863535,2013-12-31 00:00:00,Bata Chile SA,Manufacturing,Chile,-6.430839323,-5.604706131,74.08633404,-0.075651012,-0.047999155,116.7667674,2013,0,0,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.9641271,2,0,2013,2013-2016,0.035494312,4.144556092,-10.57539541
2124,326,326,326,2180,BESALCO.SN,2023-12-31 00:00:00,Besalco SA,Construction,Chile,85528415.36,56065020.78,321382471.8,0.174449529,0.045637639,1228482060,2023,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2023,2020-2023,0.027712719,34044578.51,51483836.85
2125,327,327,327,2181,BESALCO.SN,2022-12-31 00:00:00,Besalco SA,Construction,Chile,79212677.52,54463457.18,299172727.1,0.182046865,0.044818991,1215187045,2022,0,0,BESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052426619,8,0,2022,2020-2023,0.027712719,33676137.51,45536540.01
